Wavelength (nm),g-factor,CD,Extinction
642,-0.115489,-1308.42,0.343523
641.5,-0.113722,-1291.43,0.344332
641,-0.112206,-1275.18,0.344591
640.5,-0.110569,-1258.09,0.345006
640,-0.108923,-1241.74,0.345667
639.5,-0.107302,-1225.21,0.346221
639,-0.105675,-1208.67,0.346806
638.5,-0.104042,-1191.25,0.347174
638,-0.102426,-1174.52,0.347696
637.5,-0.100891,-1158.74,0.348246
637,-0.0993113,-1142.07,0.348693
636.5,-0.0977857,-1126.24,0.349224
636,-0.0962718,-1109.62,0.349481
635.5,-0.0948052,-1093.67,0.349789
635,-0.0934122,-1077.82,0.349858
634.5,-0.0919254,-1061.92,0.350272
634,-0.0902075,-1045.24,0.351337
633.5,-0.0886203,-1029.41,0.352213
633,-0.0870618,-1013.53,0.352988
632.5,-0.0856094,-997.634,0.353345
632,-0.0840683,-980.959,0.353808
631.5,-0.082625,-965.193,0.354203
631,-0.0810999,-948.602,0.354661
630.5,-0.0795683,-932.126,0.355209
630,-0.0779654,-915.732,0.356136
629.5,-0.0764939,-899.426,0.356523
629,-0.0749725,-882.273,0.356821
628.5,-0.0735898,-866.13,0.356874
628,-0.072233,-850.051,0.356828
627.5,-0.0707977,-833.972,0.357175
627,-0.0693339,-817.933,0.357702
626.5,-0.0677924,-802.095,0.358752
626,-0.0664313,-786.276,0.358882
625.5,-0.0651479,-771.454,0.359053
625,-0.063867,-755.834,0.358839
624.5,-0.0625989,-741.952,0.359384
624,-0.061343,-727.418,0.359558
623.5,-0.0600675,-712.999,0.359914
623,-0.0588188,-699.387,0.360538
622.5,-0.0576663,-686.014,0.360712
622,-0.0564677,-672.575,0.361152
621.5,-0.0553119,-659.249,0.361394
621,-0.0541715,-645.311,0.3612
620.5,-0.0530195,-632.234,0.361569
620,-0.0518928,-619.259,0.361838
619.5,-0.0507482,-606.454,0.362348
619,-0.0495493,-592.989,0.362876
618.5,-0.0484066,-579.741,0.363143
618,-0.0472357,-566.654,0.363745
617.5,-0.0461346,-553.635,0.36387
617,-0.0450261,-540.948,0.364284
616.5,-0.043866,-527.709,0.364767
616,-0.04274,-514.599,0.365077
615.5,-0.0416956,-502.508,0.365429
615,-0.0406013,-489.984,0.365924
614.5,-0.0395692,-477.651,0.366018
614,-0.0384915,-464.867,0.366195
613.5,-0.0374534,-452.915,0.366669
613,-0.0364798,-441.336,0.366831
612.5,-0.0355062,-429.956,0.367172
612,-0.0345526,-418.761,0.367481
611.5,-0.0336301,-407.798,0.367677
611,-0.0326954,-397.062,0.368231
610.5,-0.031804,-386.495,0.368478
610,-0.0309026,-376.195,0.369119
609.5,-0.0300453,-366.015,0.369378
609,-0.0292021,-355.994,0.36964
608.5,-0.0283882,-346.141,0.369713
608,-0.0275733,-336.382,0.369908
607.5,-0.0267895,-326.92,0.370021
607,-0.0259936,-317.457,0.370312
